date,rain_mm,max_temp_c,max_humidity_pct
2025-06-01,3.1,37.2,67
2025-06-02,0.3,37.5,69
2025-06-03,0.2,35.1,58
2025-06-04,0.5,36.7,70
2025-06-05,0.1,37.2,76
2025-06-06,0.0,38.7,63
2025-06-07,0.0,41.7,51
2025-06-08,0.0,43.0,51
2025-06-09,0.0,43.8,46
2025-06-10,0.0,43.2,28
2025-06-11,0.0,43.3,56
2025-06-12,0.6,43.5,63
2025-06-13,0.0,41.2,60
2025-06-14,0.0,43.3,66
2025-06-15,0.3,38.7,63
2025-06-16,21.2,32.5,95
2025-06-17,17.6,34.0,96
2025-06-18,4.9,33.2,92
2025-06-19,0.1,32.8,89
2025-06-20,1.8,32.0,94
2025-06-21,1.4,35.2,94
2025-06-22,3.4,34.8,85
2025-06-23,0.4,36.9,89
2025-06-24,0.6,37.0,89
2025-06-25,14.0,32.3,94
2025-06-26,19.2,34.7,95
2025-06-27,2.2,33.8,86
2025-06-28,5.0,36.7,93
2025-06-29,13.9,33.8,96
2025-06-30,23.3,32.0,98
2025-07-01,11.0,33.4,99
2025-07-02,3.3,33.1,93
2025-07-03,0.5,33.4,93
2025-07-04,0.4,34.3,93
2025-07-05,4.1,35.8,96
2025-07-06,8.3,35.8,94
2025-07-07,14.1,33.3,97
2025-07-08,0.1,34.3,92
2025-07-09,9.3,32.0,90
2025-07-10,2.2,29.9,96
2025-07-11,0.8,31.9,96
2025-07-12,2.6,33.9,94
2025-07-13,17.5,32.7,95
2025-07-14,16.9,30.9,93
2025-07-15,6.1,32.3,93
2025-07-16,5.0,32.5,97
2025-07-17,2.1,31.1,93
2025-07-18,2.5,32.3,94
2025-07-19,0.1,32.7,91
2025-07-20,0.0,34.5,88
2025-07-21,0.9,31.5,89
2025-07-22,0.3,34.5,91
2025-07-23,4.0,33.5,89
2025-07-24,1.1,35.6,90
2025-07-25,0.0,36.3,89
2025-07-26,2.8,36.0,90
2025-07-27,1.3,36.7,84
2025-07-28,0.4,37.5,85
2025-07-29,7.3,32.3,92
2025-07-30,17.1,32.0,97
2025-07-31,22.2,31.5,98
2025-08-01,6.8,32.0,96
2025-08-02,1.8,32.8,90
2025-08-03,0.5,33.2,91
2025-08-04,0.6,31.2,95
2025-08-05,9.0,29.9,91
2025-08-06,0.7,32.2,90
2025-08-07,0.0,34.1,87
2025-08-08,0.0,33.3,83
2025-08-09,10.8,30.9,91
2025-08-10,1.2,32.5,93
2025-08-11,2.9,34.0,92
2025-08-12,0.7,33.3,92
2025-08-13,0.0,33.7,87
2025-08-14,8.2,29.6,97
2025-08-15,2.3,31.8,97
2025-08-16,9.9,31.1,97
2025-08-17,2.8,32.2,93
2025-08-18,11.6,32.0,93
2025-08-19,5.9,32.0,91
2025-08-20,5.7,32.7,91
2025-08-21,15.2,33.8,97
2025-08-22,2.3,34.7,93
2025-08-23,9.6,32.6,96
2025-08-24,14.8,31.4,94
2025-08-25,11.6,29.5,95
2025-08-26,6.1,30.1,95
2025-08-27,1.1,32.7,97
2025-08-28,10.3,32.5,97
2025-08-29,9.1,31.6,98
2025-08-30,3.3,31.9,95
2025-08-31,14.8,30.1,96
2025-09-01,31.6,29.1,98
2025-09-02,30.0,27.0,98
2025-09-03,21.0,29.1,97
2025-09-04,10.1,31.6,97
2025-09-05,5.2,31.2,93
2025-09-06,9.3,31.6,96
2025-09-07,4.3,32.1,96
2025-09-08,0.7,32.0,98
2025-09-09,0.5,32.5,91
2025-09-10,0.0,33.3,88
2025-09-11,0.0,33.1,82
2025-09-12,0.2,33.8,83
2025-09-13,0.3,35.5,79
2025-09-14,0.0,36.6,76
2025-09-15,0.0,36.8,72
2025-09-16,0.0,37.0,75
2025-09-17,0.3,36.3,78
2025-09-18,2.2,35.0,87
2025-09-19,0.8,35.4,85
2025-09-20,0.0,36.2,79
2025-09-21,0.0,36.5,71
2025-09-22,0.0,37.1,70
2025-09-23,0.0,36.8,69
2025-09-24,0.0,36.2,68
2025-09-25,0.0,36.3,74
2025-09-26,0.0,37.0,76
2025-09-27,0.4,38.5,74
2025-09-28,0.0,37.0,73
2025-09-29,0.2,36.8,78
2025-09-30,7.3,34.2,92
